"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-11-30,"Toledo, OH","OH",85,936.89,0.0071,0.0209,0.0123,204123
2019-11-30,"Madison, WI","WI",86,1381.73,0.0039,0.0171,0.0131,115470
2019-11-30,"Lakeland, FL","FL",87,1248.24,0.0103,0.038,0.0486,229197
2019-11-30,"Ogden, UT","UT",88,1379.9,0.0042,0.0258,0.0424,208967
2019-11-30,"Daytona Beach, FL","FL",89,1464.11,0.0051,0.0186,0.0293,285325
2019-11-30,"Des Moines, IA","IA",90,1145.41,0.0074,0.0243,-0.0001,234036
2019-11-30,"Jackson, MS","MS",91,1060.96,0.0105,0.042,0.0386,176442
2019-11-30,"Youngstown, OH","OH",92,757,0.0165,0.0111,-0.0019,171053
2019-11-30,"Augusta, GA","GA",93,1046.21,0.0105,0.0586,0.01,199134
2019-11-30,"Scranton, PA","PA",94,989.54,0.014,0.0031,-0.0105,14072
2019-11-30,"Harrisburg, PA","PA",95,1166.37,0.0072,0.0043,0.0163,201484
2019-11-30,"Melbourne, FL","FL",96,1460.23,0.0026,0.0065,0.0196,268944
2019-11-30,"Chattanooga, TN","TN",97,1159.24,-0.0033,0.0075,0.0378,203026
2019-11-30,"Spokane, WA","WA",98,1256.83,0.0029,0.011,0.0386,192683
2019-11-30,"Provo, UT","UT",99,1302.31,-0.0045,0.0103,0.0123,163552
2019-11-30,"Lancaster, PA","PA",100,1189.55,-0.0041,0.0154,0.0079,187373
2019-11-30,"Modesto, CA","CA",101,1517.17,-0.0033,0.0061,0.0299,150969
2019-11-30,"Portland, ME","ME",102,1677.23,-0.0026,-0.0079,0.0269,210626
2019-11-30,"Durham, NC","NC",103,1321.76,0.0028,0.0081,0.0499,197826
2019-11-30,"Santa Rosa, CA","CA",104,2608.02,-0.0068,-0.0137,-0.0366,155930
2019-11-30,"Lexington, KY","KY",105,1072.56,-0.0019,0.0006,0.0329,152844
2019-11-30,"Lafayette, LA","LA",106,942.55,-0.0007,-0.0022,-0.0993,26352
2019-11-30,"Lansing, MI","MI",107,1018.42,0.0192,0.0254,0.0665,143994
2019-11-30,"Fayetteville, AR","AR",108,1051.03,-0.0013,0.0019,0.0396,165771
2019-11-30,"Pensacola, FL","FL",109,1280.16,0.0048,0.0335,0.0418,190008
2019-11-30,"Visalia, CA","CA",110,1182.38,0.0088,0.0179,0.0222,106074
2019-11-30,"Shreveport, LA","LA",111,908.83,-0.0086,-0.0375,-0.067,51182
2019-11-30,"Springfield, MO","MO",112,851.98,0.0287,0.049,0.061,171627
2019-11-30,"York, PA","PA",113,1170.86,-0.0023,0.0008,0.0206,154731
2019-11-30,"Corpus Christi, TX","TX",114,1328.87,-0.0035,0.0043,-0.0033,151207
2019-11-30,"Flint, MI","MI",115,922.69,0.0258,0.052,0.0098,149793
2019-11-30,"Reno, NV","NV",116,1674.45,0.0048,0.0229,0.0293,162909
2019-11-30,"Asheville, NC","NC",117,1422.33,0.0072,0.0201,0.0313,176150
2019-11-30,"Port St. Lucie, FL","FL",118,1634.76,0.0056,0.0185,0.0312,215272
2019-11-30,"Santa Maria-Santa Barbara, CA","CA",119,2917.09,0.0026,0.0291,0.047,105549
2019-11-30,"Huntsville, AL","AL",120,1073.15,0.0154,0.051,0.0918,164303
2019-11-30,"Fort Wayne, IN","IN",121,1013.03,0.0202,0.0409,0.0158,151879
2019-11-30,"Salinas, CA","CA",122,2635.68,0.0054,0.0293,0.0504,107376
2019-11-30,"Vallejo, CA","CA",123,2157.78,-0.0015,0.0085,0.05,134599
2019-11-30,"Mobile, AL","AL",124,893.41,-0.0006,0.0127,-0.0068,145789
2019-11-30,"Reading, PA","PA",125,1189.37,-0.0001,0.0155,-0.0109,137063
2019-11-30,"Brownsville, TX","TX",126,980.62,0.003,-0.0202,0.0277,121259
2019-11-30,"Killeen, TX","TX",127,918.44,0.0006,0.0257,0.0588,132319
2019-11-30,"Canton, OH","OH",128,845.43,0.0118,0.0405,0.0298,153061
2019-11-30,"Beaumont, TX","TX",129,1075.05,0.0048,0.0183,0.0315,130007
2019-11-30,"Manchester, NH","NH",130,1573,0.0116,0.0424,0.0474,148635
2019-11-30,"Salem, OR","OR",131,1464.5,0.0097,0.0303,0.0435,103952
2019-11-30,"Anchorage, AK","AK",132,1547.69,0.0028,0.0148,0.0058,144780
2019-11-30,"Davenport, IL","IL",133,886.66,-0.0054,-0.0056,-0.0297,133558
2019-11-30,"Peoria, IL","IL",134,845.35,-0.0042,0.0064,-0.0091,128769
2019-11-30,"Myrtle Beach, SC","SC",135,1317.61,0.0063,0.0312,0.0195,291384
2019-11-30,"Montgomery, AL","AL",136,869.22,0.0103,0.0314,0.0109,133172
2019-11-30,"Salisbury, MD","DE",137,1357.74,-0.0165,-0.0568,-0.0127,192485
2019-11-30,"Gulfport, MS","MS",138,1059.16,-0.0001,0.0067,0.0224,134693
2019-11-30,"Tallahassee, FL","FL",139,1079.55,-0.0081,0.0098,-0.0062,119215
2019-11-30,"Trenton, NJ","NJ",140,1661.54,-0.0003,0.0009,-0.0046,117833
2019-11-30,"Fayetteville, NC","NC",141,873.42,0.0043,0.0166,-0.0125,132969
2019-11-30,"Hickory, NC","NC",142,1041.08,-0.0074,-0.0014,0.0124,119290
2019-11-30,"Huntington, WV","WV",143,878.68,0.0061,0.0035,0.0038,118501
2019-11-30,"Eugene, OR","OR",144,1418.21,0.003,0.0119,0.0484,114499
2019-11-30,"Rockford, IL","IL",145,963.8,-0.0043,0.0154,0.0398,114301
2019-11-30,"Savannah, GA","GA",146,1296.67,-0.0052,0.0077,0.0289,141428
2019-11-30,"Ann Arbor, MI","MI",147,1557.36,-0.0083,-0.0466,-0.0502,110384
2019-11-30,"Ocala, FL","FL",148,1155.71,0.0135,0.0252,0.0421,144837
2019-11-30,"South Bend, IN","IN",149,957.86,-0.0031,-0.004,-0.0447,102773
2019-11-30,"Spartanburg, SC","SC",150,1014,0.0024,0.0199,0.0288,105375
2019-11-30,"Evansville, IN","IN",151,868.17,-0.0247,-0.0122,-0.0259,113700
2019-11-30,"Kingsport, TN","TN",152,909.86,-0.0249,-0.0074,0.0198,113397
2019-11-30,"Roanoke, VA","VA",153,1045.72,0.0219,0.012,-0.0186,120139
2019-11-30,"Lincoln, NE","NE",154,1052.18,0.0035,-0.003,-0.0012,104531
2019-11-30,"Fort Collins, CO","CO",155,1670.91,0.0082,0.0101,0.0214,133933
2019-11-30,"Utica, NY","NY",156,990.47,0.0261,0.0743,-0.0551,99357
2019-11-30,"Columbus, GA","GA",157,876.37,0.0119,0.0411,0.0368,96614
2019-11-30,"Boulder, CO","CO",158,1995.82,0.0129,0.0193,0.0158,124529
2019-11-30,"Lubbock, TX","TX",159,988,-0.0028,-0.0258,-0.022,96831
2019-11-30,"Erie, PA","PA",160,883.41,0.0126,0.0425,0.0033,83759
2019-11-30,"Fort Smith, AR","AR",161,736.8,0.0065,0.0069,-0.0434,62996
2019-11-30,"Duluth, MN","MN",162,1008.52,0.0171,0.0116,0.0168,76677
2019-11-30,"Atlantic City, NJ","NJ",163,1334.88,-0.0125,-0.042,-0.007,117598
2019-11-30,"New London, CT","CT",164,1313.76,0.0134,0.0311,0.0137,108745
2019-11-30,"San Luis Obispo, CA","CA",165,2405.03,-0.0001,-0.0209,0.004,85818
2019-11-30,"Gainesville, FL","FL",166,1193.97,0.0151,0.0377,0.0955,86004
2019-11-30,"Santa Cruz, CA","CA",167,3113.56,0.0072,0.0065,0.0055,76696
2019-11-30,"Clarksville, TN","TN",168,934.47,0.0168,0.0443,0.0282,93211
2019-11-30,"Cedar Rapids, IA","IA",169,913.55,-0.0085,0.0073,-0.0114,107193
2019-11-30,"Merced, CA","CA",170,1354.75,0.0004,0.0127,0.0302,68855
2019-11-30,"Wilmington, NC","NC",171,1440.3,-0.0002,-0.003,0.079,116929
2019-11-30,"Kennewick, WA","WA",172,1390.44,0.0081,0.0264,0.0529,84295
2019-11-30,"Greeley, CO","CO",173,1630.42,-0.0053,0.0182,0.0477,110829
2019-11-30,"Olympia, WA","WA",174,1620.29,0.0044,0.0173,0.0177,93155
2019-11-30,"Amarillo, TX","TX",175,827.17,0.0011,0.0143,-0.0439,88340
2019-11-30,"Binghamton, NY","NY",176,926.03,0.0016,0.0134,-0.0415,81237
2019-11-30,"Hagerstown, WV","MD",177,1116.15,0.0132,0.0251,0.0155,95327
2019-11-30,"Bremerton, WA","WA",178,1710.33,-0.0153,0.0077,0.0536,92291
2019-11-30,"Laredo, TX","TX",179,1055.19,-0.0006,-0.0144,-0.032,50760
2019-11-30,"Lynchburg, VA","VA",180,941.38,-0.0011,-0.0194,-0.0412,95711
2019-11-30,"Yakima, WA","WA",181,1186,-0.0045,-0.0091,-0.0001,68947
2019-11-30,"Crestview-Fort Walton Beach-Destin, FL","FL",182,1614.06,-0.0094,0.0113,0.0836,139631
2019-11-30,"Topeka, KS","KS",183,837.31,0.0014,0.0031,-0.0149,86802
2019-11-30,"Macon-Bibb County, GA","GA",184,894.22,0.0118,0.0164,0.0578,81845
2019-11-30,"Champaign-Urbana, IL","IL",185,1005.29,0.0097,0.0271,-0.0017,43373
2019-11-30,"Tuscaloosa, AL","AL",186,1125.8,-0.0083,0.0049,0.0133,65545
2019-11-30,"College Station, TX","TX",187,1141.31,0.0051,-0.0076,0.0027,71139
2019-11-30,"Sioux Falls, SD","SD",188,985.82,0.0022,0.0099,0.017,70688
2019-11-30,"Charleston, WV","WV",189,801.09,0.0157,-0.0013,-0.0314,79634
2019-11-30,"Chico, CA","CA",190,1601.25,-0.003,0.001,0.2098,56260
2019-11-30,"Charlottesville, VA","VA",191,1482.59,0.0018,0.0096,0.0069,87623
